,MarketCap,Market Category
KR,21844017152,P
LB,6385189888,P
LHX,49191383040,P
LH,17089599488,P
LRCX,44444954624,P
LW,13381297152,P
LVS,49718874112,P
LEG,6430780928,P
LDOS,14486227968,P
LEN,20651259904,P
LLY,1.36521E+11,P
LNC,10834823168,P
LIN,1.10661E+11,P
LYV,14887457792,P
LKQ,10163813376,P
LMT,1.22252E+11,P
L,15377597440,P
LOW,91202863104,P
LYB,27346370560,P
MTB,21830563840,P
M,5133453312,P
MRO,9252285440,P
MPC,34907549696,P
MKTX,13452223488,P
MAR,45954260992,P
MMC,57507221504,P
MLM,16602008576,P
MAS,13761541120,P
MA,3.22538E+11,P
MKC,21974056960,P
MXIM,16485498880,P
MCD,1.62329E+11,P
MCK,26202939392,P
MDT,1.56597E+11,P
MRK,2.19769E+11,P
MET,46367793152,P
MTD,18660431872,P
MGM,15887256576,P
MCHP,23833276416,P
MU,59337121792,P
MSFT,1.28577E+12,P
MAA,15630464000,P
MHK,9555833856,P
TAP,12111629312,P
MDLZ,82962432000,P
MNST,35793489920,P
MCO,49250365440,P
MS,84108050432,P
MOS,7442693120,P
MSI,30586148864,P
MSCI,24002920448,P
MYL,11194925056,P
NDAQ,18727288832,P
NOV,7882547712,P
NTAP,12385824768,P
NFLX,1.49983E+11,P
NWL,8370618368,P
NEM,36884557824,P
NWSA,7987591168,P
NWS,7971892736,P
NEE,1.3107E+11,P
NLSN,7294531584,P
NKE,1.52023E+11,P
NI,10808495104,P
NBL,9573134336,P
JWN,5980345344,P
NSC,55377448960,P
NTRS,20786356224,P
NOC,63621206016,P
NLOK,17061696512,P
NCLH,11331490816,P
NRG,9316525056,P
NUE,14404248576,P
NVDA,1.47565E+11,P
NVR,14614178816,P
ORLY,31624660992,P
OXY,35340779520,P
ODFL,16113172480,P
OMC,16412637184,P
OKE,30778963968,P
ORCL,1.67856E+11,P
PCAR,26010593280,P
PKG,9218733056,P
PH,25785495552,P
PAYX,31064897536,P
PAYC,18744911872,P
PYPL,1.35701E+11,P
PNR,7312045056,P
PBCT,6778403840,P
PEP,1.98451E+11,P
PKI,10541262848,P
PRGO,7781408256,P
PFE,2.04652E+11,P
PM,1.29791E+11,P
PSX,42154020864,P
PNW,11026394112,P
PXD,22426947584,P
PNC,64659890176,P
PPG,28763359232,P
PPL,26303942656,P
PFG,14839590912,P
PG,3.08978E+11,P
PGR,47097794560,P
PLD,60675670016,P
PRU,36440432640,P
PEG,30277816320,P
PSA,39041855488,P
PHM,12425349120,P
PVH,6587769856,P
QRVO,12879049728,P
PWR,5615630336,P
QCOM,98743009280,P
DGX,14831485952,P
RL,8521192448,P
RJF,12680180736,P
RTN,62432210944,P
O,25509679104,P
REG,10457669632,P
REGN,36771778560,P
RF,14646885376,P
RSG,30350688256,P
RMD,23601033216,P
RHI,6961176064,P
ROK,22054805504,P
ROL,12310181888,P
ROP,40142454784,P
ROST,40894599168,P
RCL,24520540160,P
SPGI,72478040064,P
CRM,1.63771E+11,P
SBAC,28300009472,P
SLB,46021443584,P
STX,15087493120,P
SEE,5607385600,P
SRE,45123096576,P
NOW,63169683456,P
SHW,52084543488,P
SPG,41952063488,P
SWKS,19458926592,P
SLG,7289844224,P
SNA,8911700992,P
SO,73762422784,P
LUV,28709752832,P
SWK,24501293056,P
SBUX,99745382400,P
STT,27290224640,P
STE,12780205056,P
SYK,79429443584,P
SIVB,12611730432,P
SYF,20152250368,P
SNPS,22412404736,P
SYY,41945763840,P
TMUS,68531552256,P
TROW,31331411968,P
TTWO,14331594752,P
TPR,7283331072,P
TGT,57519718400,P
TEL,31594280960,P
FTI,7325532160,P
TFX,17414203392,P
TXN,1.14733E+11,P
TXT,10440750080,P
TMO,1.27936E+11,P
TIF,16234110976,P
TJX,72648007680,P
TSCO,11141306368,P
TDG,34696085504,P
TRV,34004494336,P
TFC,68193726464,P
TWTR,25491681280,P
TSN,30804850688,P
UDR,14081196032,P
ULTA,15638759424,P
USB,83653222400,P
UAA,8811124736,P
UA,8793650176,P
UNP,1.25464E+11,P
UAL,18988421120,P
UNH,2.62443E+11,P
UPS,93789904896,P
URI,10697691136,P
UTX,1.31541E+11,P
UHS,12299182080,P
UNM,5533139456,P
VFC,33357715456,P
VLO,35776090112,P
VAR,12854560768,P
VTR,21573959680,P
VRSN,24847267840,P
VRSK,26779635712,P
VZ,2.43391E+11,P
VRTX,59152216064,P
VIAC,20975497216,P
V,4.56828E+11,P
VNO,12624728064,P
VMC,18668673024,P
WRB,13483533312,P
WAB,14569749504,P
WMT,3.27581E+11,P
WBA,45418147840,P
DIS,2.46237E+11,P
WM,51744673792,P
WAT,14753222656,P
WEC,31455279104,P
WFC,1.95207E+11,P
WELL,34850103296,P
WDC,19417571328,P
WU,11407954944,P
WRK,9996005376,P
WY,22123266048,P
WHR,9558360064,P
WMB,25271244800,P
WLTW,27410479104,P
WYNN,13221841920,P
XEL,35925823488,P
XRX,7863838720,P
XLNX,21235748864,P
XYL,14836709376,P
YUM,31968722944,P
ZBRA,13212654592,P
ZBH,30478254080,P
ZION,7579416576,P
ZTS,65476825088,P
