SPY,297590816768.0
QQQ,86568484864.0
IAU,14683220992.0
XLE,10092995584.0
XLU,11219372032.0
IEFA,
TLT,15931730944.0
EWH,2051840000.0
ASHR,
VEA,
XLRE,
KRE,
EWT,3259325184.0
GOVT,
USMV,
VNQ,35076497408.0
XLB,4195309312.0
IVV,202426351616.0
XBI,
SMH,1641512064.0
XLY,14946245632.0
VCIT,
IJR,46206672896.0
SCHE,
VOO,
SPSB,
SPLV,
EWW,880550976.0
VCSH,
EWC,2836416000.0
DIA,23196471296.0
VTI,341729574912.0
BIV,
BNDX,
SPYG,5969659904.0
SPDW,
FPE,
DGRO,
FVD,6842654720.0
IBB,8018984960.0
SCHD,
VTV,49903374336.0
TIP,21084104704.0
ITOT,23312433152.0
QLD,
ESGE,
IWF,51383808000.0
TPYP,
EFAV,
NEAR,
